Country,Italy,France,Switzerland,Iceland,Ukraine,Finland,Malta,Lithuania,Russia,Greece,Bulgaria,Portugal,Moldova,Sweden,Serbia,Cyprus,Israel,Norway,Belgium,Azerbaijan,Albania,San Marino,Netherlands,Spain,Germany,United Kingdom,Country_code
Result_tot,524,499,432,378,364,301,255,220,204,170,170,153,115,109,102,94,93,75,74,65,57,50,11,6,3,0,
Albania,14.0,16.0,24.0,,4.0,6.0,8.0,,,14.0,5.0,,7.0,1.0,1.0,9.0,,,,2.0,,5.0,,,,,ALB
Australia,13.0,11.0,15.0,20.0,15.0,3.0,20.0,6.0,1.0,,2.0,,,,2.0,4.0,,1.0,,,,,3.0,,,,AUS
Austria,14.0,14.0,15.0,22.0,7.0,5.0,6.0,3.0,,,5.0,7.0,,,12.0,,,1.0,,,,,3.0,,2.0,,AUT
Azerbaijan,10.0,6.0,4.0,,14.0,5.0,7.0,,18.0,10.0,1.0,2.0,9.0,5.0,,,12.0,7.0,3.0,,,3.0,,,,,AZE
Belgium,10.0,12.0,16.0,8.0,20.0,14.0,7.0,7.0,7.0,,6.0,1.0,,7.0,,,,1.0,,,,,,,,,BEL
Bulgaria,22.0,17.0,3.0,,6.0,9.0,5.0,,7.0,10.0,,6.0,12.0,1.0,5.0,,3.0,,,4.0,,,2.0,4.0,,,BGR
Croatia,22.0,13.0,13.0,14.0,8.0,6.0,3.0,2.0,7.0,,,1.0,,,19.0,,5.0,,,2.0,1.0,,,,,,HRV
Cyprus,18.0,15.0,2.0,,6.0,7.0,11.0,5.0,9.0,24.0,12.0,1.0,,,,,2.0,,4.0,,,,,,,,CYP
Czech Republic,12.0,12.0,8.0,15.0,10.0,5.0,7.0,1.0,7.0,8.0,4.0,12.0,12.0,,,,,,3.0,,,,,,,,CZE
Denmark,5.0,3.0,18.0,22.0,1.0,15.0,6.0,4.0,,,6.0,,,12.0,,,1.0,11.0,,,7.0,5.0,,,,,DNK
Estonia,11.0,17.0,14.0,11.0,9.0,19.0,1.0,12.0,6.0,,6.0,5.0,,1.0,,,,4.0,,,,,,,,,EST
Finland,14.0,13.0,19.0,20.0,10.0,,1.0,8.0,5.0,2.0,10.0,,2.0,8.0,,,,4.0,,,,,,,,,FIN
France,10.0,,13.0,7.0,12.0,1.0,,,10.0,12.0,,16.0,7.0,3.0,3.0,2.0,10.0,,6.0,,,4.0,,,,,FRA
Georgia,20.0,5.0,10.0,7.0,13.0,,1.0,13.0,4.0,12.0,4.0,8.0,2.0,,,,,,,8.0,,7.0,2.0,,,,GEO
Germany,13.0,22.0,12.0,9.0,9.0,8.0,8.0,13.0,7.0,,,,,4.0,3.0,7.0,,1.0,,,,,,,,,DEU
Greece,14.0,13.0,4.0,,6.0,6.0,9.0,,3.0,,8.0,,10.0,,,24.0,,,3.0,2.0,7.0,7.0,,,,,GRC
Iceland,12.0,13.0,18.0,,11.0,17.0,4.0,4.0,2.0,4.0,8.0,12.0,,10.0,,,,1.0,,,,,,,,,ISL
Ireland,6.0,19.0,8.0,18.0,14.0,5.0,14.0,16.0,,,1.0,2.0,,1.0,,,,7.0,3.0,2.0,,,,,,,IRL
Israel,7.0,16.0,18.0,1.0,16.0,4.0,10.0,13.0,17.0,,1.0,,,,,3.0,,,6.0,4.0,,,,,,,ISR
Italy,,4.0,,14.0,13.0,18.0,7.0,17.0,7.0,,,6.0,2.0,,4.0,,4.0,2.0,5.0,,10.0,3.0,,,,,ITA
Latvia,15.0,6.0,16.0,15.0,13.0,12.0,2.0,18.0,11.0,,5.0,,,1.0,,,,2.0,,,,,,,,,LVA
Lithuania,20.0,13.0,14.0,7.0,24.0,7.0,3.0,,4.0,,2.0,6.0,,1.0,,,1.0,5.0,9.0,,,,,,,,LTU
Malta,12.0,6.0,10.0,5.0,6.0,9.0,,6.0,,6.0,,7.0,,16.0,4.0,6.0,,10.0,,,12.0,1.0,,,,,MLT
Moldova,8.0,10.0,7.0,5.0,10.0,5.0,7.0,2.0,22.0,15.0,12.0,2.0,,3.0,,1.0,,,,7.0,,,,,,,MDA
Netherlands,2.0,24.0,12.0,18.0,8.0,4.0,8.0,3.0,8.0,10.0,,6.0,,,,,4.0,,6.0,2.0,1.0,,,,,,NLD
North Macedonia,18.0,12.0,13.0,4.0,4.0,2.0,5.0,,2.0,,,,,3.0,24.0,8.0,8.0,,,3.0,10.0,,,,,,MKD
Norway,12.0,8.0,9.0,12.0,8.0,6.0,15.0,12.0,,1.0,6.0,,,18.0,,,8.0,,,1.0,,,,,,,NOR
Poland,15.0,5.0,14.0,18.0,12.0,8.0,4.0,4.0,3.0,,,8.0,,1.0,,,6.0,3.0,3.0,,,12.0,,,,,POL
Portugal,10.0,18.0,13.0,11.0,12.0,5.0,4.0,,11.0,2.0,12.0,,8.0,4.0,,,,,5.0,,,,1.0,,,,PRT
Romania,13.0,12.0,12.0,,12.0,14.0,14.0,3.0,,,2.0,10.0,18.0,,,,1.0,,,4.0,,,,,1.0,,ROU
Russia,20.0,6.0,6.0,1.0,7.0,8.0,4.0,2.0,,7.0,6.0,,15.0,,,14.0,5.0,,3.0,12.0,,,,,,,RUS
San Marino,22.0,22.0,7.0,,5.0,5.0,7.0,6.0,1.0,15.0,5.0,,11.0,,,8.0,,,,,2.0,,,,,,SMR
Serbia,20.0,22.0,2.0,12.0,8.0,17.0,,,6.0,6.0,6.0,5.0,,4.0,,2.0,2.0,,,4.0,,,,,,,SRB
Slovenia,22.0,8.0,12.0,13.0,7.0,8.0,5.0,,9.0,11.0,,,,,12.0,,1.0,2.0,6.0,,,,,,,,SVN
Spain,10.0,24.0,17.0,12.0,6.0,2.0,11.0,6.0,,1.0,12.0,6.0,,,,6.0,3.0,,,,,,,,,,ESP
Sweden,13.0,12.0,10.0,17.0,12.0,12.0,14.0,7.0,3.0,,,,,,1.0,,4.0,10.0,1.0,,,,,,,,SWE
Switzerland,18.0,18.0,,10.0,2.0,5.0,6.0,5.0,3.0,,10.0,15.0,,3.0,12.0,,,,,2.0,7.0,,,,,,CHE
Ukraine,24.0,15.0,15.0,10.0,,8.0,5.0,10.0,4.0,,,2.0,,2.0,,,7.0,1.0,7.0,6.0,,,,,,,UKR
United Kingdom,3.0,17.0,9.0,20.0,4.0,11.0,6.0,12.0,,,13.0,7.0,,,,,6.0,2.0,1.0,,,3.0,,2.0,,,GBR
